Paper ID,Title,Authors,Year,Publication Date,Venue,Citation Count,Source Database,Abstract,URL,Gen_AI_Technology
33a7b53806052042a110b2970ae0554ac1afc192,A Comprehensive Review on the Use of Artificial Intelligence in Mental Health Care,Amit Mittal; Lalit Dumka; L. Mohan,2023.0,2023-07-06,International Conference on Computing Communication and Networking Technologies,16,Semantic Scholar,"The integration of Artificial Intelligence (AI) technology into mental health services has emerged as a promising way to improve the quality and accessibility of mental health services. In the field of analysis, Artificial Intelligence techniques like Natural Language Processing (NLP) and Machine Learning algorithms have shown great potential for the analysis of big data such as electronic medical records (EMRs) and social media posts. This technology can help identify patterns and symptoms of various mental disorders, facilitating early detection and intervention. AI also plays an important role in mental health diagnosis. Machine learning algorithms trained with extensive data enable accurate and efficient classification and diagnosis of different diseases. Additionally, AI-powered virtual assistants and chatbots are being developed to provide initial assessment, psychoeducation, and even treatment, thereby expanding access to mental health services. Healing is another area where intelligence shows promise. Intelligent algorithms can analyze patient information, past medical results, and evidence-based guidelines to recommend personalized treatments. In addition to this, techs such as VR-AR (virtual and augmented reality) and digital therapy combined with artificial intelligence are collaborating to provide treatment and improve the patient experience. AI programs continue to advance the care and management of mental health. Wearable devices equipped with sensors can collect physical and behavioural data in real-time, and this data can be analyzed by intelligent algorithms to detect early signs of relapse or flare-up. This proactive monitoring allows for timely intervention and personalized care, ultimately improving patient outcomes.",https://www.semanticscholar.org/paper/33a7b53806052042a110b2970ae0554ac1afc192,None
e5646e4d5d68a5c9e8fb256c844832ff84afd1fc,"The Role of Artificial Intelligence in Mental Health Support: Present Implementations, Innovative Tools, and Research Horizons",Yash Joshi; Neha Gupta; Durgesh Mishra,2025.0,2025-08-22,2025 World Skills Conference on Universal Data Analytics and Sciences (WorldSUAS),0,Semantic Scholar,"Over the last decade, the adoption of artificial intelligence (AI) within mental healthcare has expanded rapidly, emerging as a potential response to both the increasing demand for psychiatric care and the shortage of qualified professionals. This review synthesises based on recent evidence (2019–2025) exploring applications of AI in mental health care, concentrating on screening, diagnosis, intervention delivery, monitoring, and explainable AI (XAI) practices. Comprehensive coverage was pursued by applying a systematic and predefined search strategy across relevant sources by using major databases such as IEEE Xplore, PsycINFO, PubMed, Scopus, and Google Scholar, incorporating both clinical evidence and technical contributions. Artificial intelligence methods including natural language processing, acoustic analysis, visual recognition, and multimodal fusion are increasingly utilised for both clinical applications and preventive mental health interventions. Commercial tools and research prototypes are reviewed within three categories: chatbot-based therapy and triage, emotional well-being applications, and ""smart"" mental health tools for diagnostics and monitoring. While these technologies show promise in improving access, scalability, and personalisation, persistent challenges include limited long-term evidence, algorithmic bias, privacy concerns, lack of empathy, trustworthiness, and the need for culturally adaptive systems. Explainable-AI (XAI) emerges as a critical enabler for trust, transparency, and safe adoption, especially in high-stakes mental health decisions and support. Future research should prioritise large-scale, longitudinal trials, multimodal integration, and regulatory frameworks that align with rapid technical advances",https://www.semanticscholar.org/paper/e5646e4d5d68a5c9e8fb256c844832ff84afd1fc,None
508bf4f07b225aee0fd4126edc23036b0fa086d4,Reimagining mental health: the role of artificial intelligence and brain computer interfaces in advancing mental health care,Shreevallabh A. Deshmukh; Namita N Deshmukh; Avinash Borkar,2025.0,2025-09-19,International Journal of Community Medicine and Public Health,0,Semantic Scholar,"This review elucidates the transformative impact of artificial intelligence (AI) on the diagnosis and management of prevalent mental health conditions. It highlights real world applications that are currently augmenting clinical decisions and refining therapeutic strategies, moving the field beyond traditional, subjective paradigms. Furthermore, this paper projects a future in which the confluence of AI and brain computer interfaces (BCIs) will catalyze revolutionary treatment paradigms, building upon precursors like deep brain stimulation. As neurotechnology continues its rapid advancement, AI is poised to evolve from a sophisticated decision support tool into an active therapeutic agent, directly integrated with the human brain. This synergy promises to usher in an era of precision mental healthcare, characterized by personalized, proactive, and highly effective interventions. This exploration also critically examines the profound ethical and societal challenges that must be navigated to ensure this technological evolution serves humanity equitably and responsibly.",https://www.semanticscholar.org/paper/508bf4f07b225aee0fd4126edc23036b0fa086d4,None
23870666bbf7533462305a7240625a5277397a31,Artificial Intelligence'S Role In Predictive Analytics For Patient Mental Health Care,Frestiany Regina Putri; Wahyu Ratri Sukmaningsih; Maulina Mukaromah,2024.0,2024-09-24,"Proceeding of International Conference on Science, Health, And Technology",0,Semantic Scholar,"The aim of this study is to analyze the use of AI in mental health care using case-based reasoning methods, which generate treatment solution recommendations from previously occurring cases.",https://www.semanticscholar.org/paper/23870666bbf7533462305a7240625a5277397a31,None
d417065c6b62f57248166c2272cab7ea9191c153,"Exploring the Role of Artificial Intelligence in Mental Healthcare: Progress, Pitfalls, and Promises",Gemma Espejo; Wade Reiner; Michael Wenzinger,2023.0,2023-09-01,Cureus,27,Semantic Scholar,"The rise of artificial intelligence (AI) heralds a significant revolution in healthcare, particularly in mental health. AI's potential spans diagnostic algorithms, data analysis from diverse sources, and real-time patient monitoring. It is essential for clinicians to remain informed about AI's progress and limitations. The inherent complexity of mental disorders, limited objective data, and retrospective studies pose challenges to the application of AI. Privacy concerns, bias, and the risk of AI replacing human care also loom. Regulatory oversight and physician involvement are needed for equitable AI implementation. AI integration and use in psychotherapy and other services are on the horizon. Patient trust, feasibility, clinical efficacy, and clinician acceptance are prerequisites. In the future, governing bodies must decide on AI ownership, governance, and integration approaches. While AI can enhance clinical decision-making and efficiency, it might also exacerbate moral dilemmas, autonomy loss, and issues regarding the scope of practice. Striking a balance between AI's strengths and limitations involves utilizing AI as a validated clinical supplement under medical supervision, necessitating active clinician involvement in AI research, ethics, and regulation. AI's trajectory must align with optimizing mental health treatment and upholding compassionate care.",https://www.semanticscholar.org/paper/d417065c6b62f57248166c2272cab7ea9191c153,None
99d101de50a16b3405f00148500e9bf4ddd469b8,Use of generative artificial intelligence (AI) in psychiatry and mental health care: a systematic review.,Sara Kolding; Robert M Lundin; Lasse Hansen; S. Østergaard,2024.0,2024-11-11,Acta Neuropsychiatrica,18,Semantic Scholar,"OBJECTIVES
Tools based on generative artificial intelligence (AI) such as ChatGPT have the potential to transform modern society, including the field of medicine. Due to the prominent role of language in psychiatry, e.g., for diagnostic assessment and psychotherapy, these tools may be particularly useful within this medical field. Therefore, the aim of this study was to systematically review the literature on generative AI applications in psychiatry and mental health.


METHODS
We conducted a systematic review following the Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines. The search was conducted across three databases, and the resulting articles were screened independently by two researchers. The content, themes, and findings of the articles were qualitatively assessed.


RESULTS
The search and screening process resulted in the inclusion of 40 studies. The median year of publication was 2023. The themes covered in the articles were mainly mental health and well-being in general - with less emphasis on specific mental disorders (substance use disorder being the most prevalent). The majority of studies were conducted as prompt experiments, with the remaining studies comprising surveys, pilot studies, and case reports. Most studies focused on models that generate language, ChatGPT in particular.


CONCLUSIONS
Generative AI in psychiatry and mental health is a nascent but quickly expanding field. The literature mainly focuses on applications of ChatGPT, and finds that generative AI performs well, but notes that it is limited by significant safety and ethical concerns. Future research should strive to enhance transparency of methods, use experimental designs, ensure clinical relevance, and involve users/patients in the design phase.",https://www.semanticscholar.org/paper/99d101de50a16b3405f00148500e9bf4ddd469b8,"Generative AI, ChatGPT"
1bed44445a41d8e66f78860c7a59dece0d77db49,The Role of Artificial Intelligence in Revolutionizing Mental Health Services: A Data-Driven Approach,Tejaswini S; Uma B N; Siri N,2024.0,2024-11-08,INTERANTIONAL JOURNAL OF SCIENTIFIC RESEARCH IN ENGINEERING AND MANAGEMENT,1,Semantic Scholar,"The potential of artificial intelligence (AI) to transform mental health care through individualized treatment approaches is significant. This research investigates the application of AI and extensive healthcare datasets to improve the precision of mental health diagnoses and treatments. The study employs various machine learning techniques, such as Random Forest, CatBoost, K-Nearest Neighbors, XGBoost, Convolutional Neural Networks, and Long Short-Term Memory networks, to analyze diverse data sources including electronic health records, neuroimaging, genetic information, and demographic data. Following thorough data preprocessing, model training, and evaluation using metrics like accuracy, precision, recall, F1 score, and Cohen's Kappa, the Random Forest algorithm emerges as the top performer with 98.7% accuracy. The research highlights the importance of addressing ethical considerations, such as protecting patient privacy, ensuring data security, and mitigating algorithmic bias when implementing AI in mental health services. The findings indicate that AI-based approaches can markedly improve diagnostic accuracy, provide tailored treatment suggestions, and facilitate early relapse detection, thus promoting proactive mental health management. Key Words: Artificial Intelligence, Mental Health, Data- Driven approach, Personalized Treatment, Machine Learning, Natural Language Processing.",https://www.semanticscholar.org/paper/1bed44445a41d8e66f78860c7a59dece0d77db49,None
79b00ea287dfc44fb34ed94713fb5631e1f61b2e,Revolutionizing Mental Health: The Role of Artificial Intelligence in Current and Future Solutions,Anu P; Anil Chhetri; A. S; Kushal Sa; Tharani R; Anitha S,2024.0,2024-11-23,International Conference on Recent Trends in Computing &amp; Communication Technologies (ICRCCT’2K24),0,Semantic Scholar,"Artificial Intelligence (AI) is making transformative strides in the mental health sector. This study explores the integration of AI into mental health services, focusing on current applications, ethical challenges, and future directions. By reviewing literature from databases such as PubMed, IEEE Xplore, PsycINFO, and Google Scholar, we examine the role of AI in diagnosis, treatment, and ongoing monitoring within mental healthcare. The findings reveal significant potential in AI driven early diagnosis, personalized treatment plans, and AIpowered virtual support systems, all of which contribute to more accessible and effective mental health care. However, ethical considerations related to privacy, bias, and the need for human presence highlight the necessity for balanced AI integration. The study concludes that while AI has transformative potential, responsible use is critical to fully leverage its benefits in mental health services.

",https://www.semanticscholar.org/paper/79b00ea287dfc44fb34ed94713fb5631e1f61b2e,None
4a067fce2ada0822dbd8573384e0db5ac3294aed,Artificial intelligence in positive mental health: a narrative review,Anoushka Thakkar; Ankita Gupta; A. D. Sousa,2024.0,2024-03-18,Frontiers Digit. Health,95,Semantic Scholar,"The paper reviews the entire spectrum of Artificial Intelligence (AI) in mental health and its positive role in mental health. AI has a huge number of promises to offer mental health care and this paper looks at multiple facets of the same. The paper first defines AI and its scope in the area of mental health. It then looks at various facets of AI like machine learning, supervised machine learning and unsupervised machine learning and other facets of AI. The role of AI in various psychiatric disorders like neurodegenerative disorders, intellectual disability and seizures are discussed along with the role of AI in awareness, diagnosis and intervention in mental health disorders. The role of AI in positive emotional regulation and its impact in schizophrenia, autism spectrum disorders and mood disorders is also highlighted. The article also discusses the limitations of AI based approaches and the need for AI based approaches in mental health to be culturally aware, with structured flexible algorithms and an awareness of biases that can arise in AI. The ethical issues that may arise with the use of AI in mental health are also visited.",https://www.semanticscholar.org/paper/4a067fce2ada0822dbd8573384e0db5ac3294aed,None
1170ac1ec3f22dacbf07799718be11388cc586d3,"Factors Predicting Intentions of Adoption and Continued Use of Artificial Intelligence Chatbots for Mental Health: Examining the Role of UTAUT Model, Stigma, Privacy Concerns, and Artificial Intelligence Hesitancy",Lin Li; Wei Peng; M. Rheu,2023.0,2023-09-27,Telemedicine journal and e-health,43,Semantic Scholar,"Background: Artificial intelligence-based chatbots (AI chatbots) can potentially improve mental health care, yet factors predicting their adoption and continued use are unclear. Methods: We conducted an online survey with a sample of U.S. adults with symptoms of depression and anxiety (N = 393) in 2021 before the release of ChatGPT. We explored factors predicting the adoption and continued use of AI chatbots, including factors of the unified theory of acceptance and use of technology model, stigma, privacy concerns, and AI hesitancy. Results: Results from the regression indicated that for nonusers, performance expectancy, price value, descriptive norm, and psychological distress are positively related to the intention of adopting AI chatbots, while AI hesitancy and effort expectancy are negatively associated with adopting AI chatbots. For those with experience in using AI chatbots for mental health, performance expectancy, price value, descriptive norm, and injunctive norm are positively related to the intention of continuing to use AI chatbots. Conclusions: Understanding the adoption and continued use of AI chatbots among adults with symptoms of depression and anxiety is essential given that there is a widening gap in the supply and demand of care. AI chatbots provide new opportunities for quality care by supporting accessible, affordable, efficient, and personalized care. This study provides insights for developing and deploying AI chatbots such as ChatGPT in the context of mental health care. Findings could be used to design innovative interventions that encourage the adoption and continued use of AI chatbots among people with symptoms of depression and anxiety and who have difficulty accessing care.",https://www.semanticscholar.org/paper/1170ac1ec3f22dacbf07799718be11388cc586d3,ChatGPT
